iter	RMSE
179	0.1859806345
180	0.185628252
181	0.1852955915
182	0.1849640346
183	0.1846314719
184	0.1842940074
185	0.1839963703
186	0.1836568095
187	0.1833629064
188	0.1830287647
189	0.1826841293
190	0.1823771759
191	0.1820655615
192	0.1817428196
193	0.1814574835
194	0.1811766015
195	0.1808967673
196	0.1806096349
197	0.1803455972
198	0.1800809098
199	0.1797930627
200	0.1795135356
201	0.1792654289
202	0.1789744354
203	0.1787039751
204	0.1784541746
205	0.1782253941
206	0.1779911455
207	0.1777720818
208	0.1775687127
209	0.1773279404
210	0.1770709037
211	0.1768012914
212	0.1765561617
213	0.1763253534
214	0.1761018678
215	0.1758663018
216	0.1756298243
217	0.1753797884
218	0.1751458257
219	0.1749315081
220	0.1747279544
221	0.1745100899
222	0.1743037904
223	0.1740795719
224	0.1738791672
225	0.1736782391
226	0.173468715
227	0.173272861
228	0.1730773622
229	0.1728828471
230	0.1726724421
231	0.1725081371
232	0.1723190369
233	0.172122838
234	0.171934678
235	0.1717447501
236	0.1715713481
237	0.1713994542
238	0.171199001
239	0.1710204325
240	0.1708517071
241	0.1707012362
242	0.1705422925
243	0.1703946114
244	0.1702203357
245	0.1700640325
246	0.1699312206
247	0.1697718859
248	0.169633612
249	0.1694869566
250	0.1693503518
251	0.1692187919
252	0.1690872462
253	0.1689463269
254	0.1688173439
255	0.168673507
256	0.1685247286
257	0.168391451
258	0.1682679085
259	0.1681349833
260	0.1680087396
261	0.167886613
262	0.1677534202
263	0.1676012393
264	0.1674782967
265	0.1673615135
266	0.1672257573
267	0.167087541
268	0.1669571828
269	0.1668525399
270	0.1667074733
271	0.166588693
272	0.1664739262
273	0.1663490873
274	0.1662176282
275	0.1661213777
276	0.1659850724
277	0.1658746893
278	0.1657719038
279	0.1656581612
280	0.1655518839
281	0.1654551622
282	0.1653530874
283	0.1652388347
284	0.1651161468
285	0.165025491
286	0.1649265844
287	0.1648207666
288	0.1647337614
289	0.1646557971
290	0.1645584407
291	0.1644555976
292	0.1643610459
293	0.1642658292
294	0.1641799629
295	0.1640891844
296	0.1639958771
297	0.1639090003
298	0.1637830416
299	0.1636983601
300	0.1635959292
301	0.1634949495
302	0.1633895271
303	0.1633027901
304	0.1632222993
305	0.1631380592
306	0.1630623262
307	0.1629782021
308	0.162867521
309	0.162794142
310	0.1627210537
311	0.1626382014
312	0.1625655712
313	0.162457137
314	0.1623773189
315	0.1622874929
316	0.162200936
317	0.1621339879
318	0.1620551933
319	0.1619802606
320	0.1619062187
321	0.161853633
322	0.161784899
323	0.1617035307
324	0.1616072173
325	0.1615485901
326	0.161492127
327	0.1614332672
328	0.1613703318
329	0.1613011864
330	0.1612467589
331	0.161183928
332	0.1611158434
333	0.1610384777
334	0.1609669046
335	0.1608972048
336	0.1608243734
337	0.1607461645
338	0.1606833946
339	0.1606165918
340	0.1605551495
341	0.160494516
342	0.1603942902
343	0.1603303786
344	0.1602593223
345	0.1602146581
346	0.1601140276
347	0.160068397
348	0.1599923689
349	0.1599274782
350	0.1598725729
351	0.1598300047
352	0.1597665263
353	0.1596947618
354	0.1596389815
355	0.1595943915
356	0.1595413469
357	0.1594809367
358	0.1594240475
359	0.1593906396
360	0.1593276733
361	0.1592713767
362	0.1592169807
363	0.1591722757
364	0.1591172612
365	0.1590618178
366	0.1589821313
367	0.1589229126
368	0.1588308904
369	0.1587676296
370	0.1587103014
371	0.1586706783
372	0.1585924433
373	0.158508527
374	0.1584825609
375	0.1584297378
376	0.1583700069
377	0.1583160106
378	0.1582668004
379	0.1581954939
380	0.1581257792
381	0.1580800093
382	0.158027953
383	0.1579709359
384	0.1579152756
385	0.157877826
386	0.1578249849
387	0.1577787871
388	0.1577403981
389	0.1576948016
390	0.1576604379
391	0.1576078076
392	0.157575067
393	0.1575434883
394	0.1574969886
395	0.1574496872
396	0.1573740956
397	0.1573345742
398	0.1572975673
399	0.1572337375
400	0.1571815656
401	0.1571421515
402	0.1571021176
403	0.15704221
404	0.157002833
405	0.1569598204
406	0.1569254489
407	0.1568902389
408	0.1568349711
409	0.1567640083
410	0.1567057656
411	0.1566700112
412	0.1566281716
413	0.1565740614
414	0.1565164637
415	0.1564781308
416	0.1564335686
417	0.1563990714
418	0.1563648037
419	0.1563207894
420	0.1562770089
421	0.1562092258
422	0.1561780706
423	0.1561358573
424	0.1560846158
425	0.1560483909
426	0.1559886787
427	0.1559822027
428	0.1559395867
429	0.1559014381
430	0.1558575103
431	0.1558224572
432	0.1557943305
433	0.1557620885
434	0.1557296938
435	0.1557001668
436	0.1556492774
437	0.155616012
438	0.1555650628
439	0.1555259905
440	0.1554762923
441	0.1554248199
442	0.1553848086
443	0.155344422
444	0.1553123256
445	0.1552717731
446	0.1552308578
447	0.1552051544
448	0.1551707198
449	0.1551291356
450	0.1550903051
451	0.1550474713
452	0.1550082162
453	0.1549555415
454	0.1548987828
455	0.1548698073
456	0.1548443167
457	0.1547962133
458	0.1547674626
459	0.1547110462
460	0.1546472446
461	0.1546072404
462	0.1545673082
463	0.1545426623
464	0.1544964881
465	0.1544669115
466	0.1544532835
467	0.1544176634
468	0.1543958342
469	0.1543812977
470	0.1543393399
471	0.1542959638
472	0.1542667382
473	0.1542357537
474	0.1542034494
475	0.1541862413
476	0.1541572176
477	0.1541255322
478	0.15406924
479	0.1540364168
480	0.1540114852
481	0.1539698283
482	0.1539270646
483	0.1538880926
484	0.1538613537
485	0.1538136099
486	0.1537833833
487	0.1537571302
488	0.1537338995
489	0.153706654
490	0.1536799142
491	0.1536453447
492	0.1536219324
493	0.1535858839
494	0.1535514539
495	0.1535302983
496	0.1534969453
497	0.153452654
498	0.1534084683
499	0.1533850445
